ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40123407,35.0,37.0,38.0,40.0,0.0,40,10.0,0.0,2.8,4.8,8
40123408,35.0,34.0,40.0,35.0,40.0,40,40.0,0.0,4.0,10.44,8
40123418,40.0,38.0,38.0,38.0,40.0,40,28.0,40.0,2.9,13.620000000000001,8
40123419,40.0,39.0,30.0,20.0,0.0,40,0.0,0.0,6.7,13.59,8
40123420,0.0,0.0,0.0,40.0,40.0,40,0.0,0.0,0.0,2.3,8
40123421,40.0,38.0,40.0,40.0,0.0,40,40.0,40.0,7.0,15.48,8
40123422,37.0,39.0,40.0,40.0,40.0,40,35.0,40.0,7.0,18.11,8
40123437,37.0,39.0,38.0,0.0,0.0,0,0.0,0.0,0.0,1.14,8
40126003,40.0,19.0,38.0,0.0,0.0,40,35.0,0.0,2.9,8.32,8
40126015,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8
40126018,37.0,38.0,0.0,38.0,40.0,40,5.0,40.0,4.6,12.979999999999999,8
40126019,0.0,39.0,40.0,0.0,40.0,40,32.0,0.0,2.7,9.91,8
40126020,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.3,2.4499999999999997,8
40126021,0.0,37.0,0.0,0.0,40.0,40,28.0,40.0,3.9,7.25,8
40126022,40.0,32.0,40.0,40.0,40.0,40,35.0,40.0,5.6,14.57,8
40126023,27.0,10.0,0.0,40.0,40.0,40,40.0,40.0,4.4,10.67,8
40126024,40.0,10.0,40.0,38.0,40.0,40,35.0,35.0,3.2,11.18,8
40126025,35.0,38.0,40.0,38.0,40.0,40,23.0,40.0,4.3,12.14,8
40126026,33.0,22.0,30.0,38.0,0.0,40,28.0,24.0,4.3,11.350000000000001,8
40126027,40.0,40.0,40.0,40.0,40.0,40,35.0,40.0,5.5,13.65,8
40126028,35.0,32.0,40.0,0.0,40.0,40,10.0,0.0,5.0,13.77,8
40126029,30.0,27.0,40.0,40.0,40.0,40,28.0,18.0,3.5,9.48,8
40126030,35.0,33.0,38.0,36.0,0.0,40,35.0,0.0,6.1,16.67,8
40126031,0.0,0.0,0.0,0.0,0.0,0,30.0,0.0,4.2,8.5,8
40126441,25.0,0.0,0.0,40.0,20.0,40,40.0,32.0,1.5,8.27,8
