ID,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,mid,final,prof
40124005,40.0,20.0,0.0,37.0,40.0,40,35.0,30.0,3.0,9.92,Dr. Rahmati
40124006,0.0,0.0,38.0,0.0,0.0,40,0.0,22.0,2.0,3.2,Dr. Rahmati
40124008,27.0,27.0,38.0,40.0,0.0,40,0.0,30.0,4.7,9.02,Dr. Rahmati
40124009,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.6000000000000001,Dr. Rahmati
40124014,0.0,20.0,40.0,38.0,0.0,40,0.0,0.0,3.4,10.879999999999999,Dr. Rahmati
40124019,35.0,0.0,40.0,0.0,40.0,40,0.0,0.0,3.3,5.05,Dr. Rahmati
40124020,35.0,37.0,38.0,37.0,40.0,40,28.0,40.0,1.65,6.65,Dr. Rahmati
40124022,30.0,0.0,0.0,38.0,40.0,40,28.0,35.0,0.6,7.309999999999999,Dr. Rahmati
40124029,30.0,39.0,38.0,38.0,40.0,40,35.0,27.0,5.0,12.07,Dr. Rahmati
40124030,35.0,30.0,30.0,0.0,0.0,40,20.0,0.0,3.6,8.15,Dr. Rahmati
40124055,35.0,37.0,20.0,40.0,40.0,40,30.0,35.0,4.3,10.67,Dr. Rahmati
40125402,30.0,25.0,0.0,40.0,0.0,40,30.0,40.0,3.5,8.05,Dr. Rahmati
40125403,25.0,26.0,40.0,40.0,40.0,40,35.0,40.0,2.4,6.16,Dr. Rahmati
40126067,35.0,38.0,40.0,40.0,40.0,40,40.0,32.0,6.3,16.35,Dr. Rahmati
40126071,40.0,35.0,40.0,40.0,40.0,40,35.0,40.0,6.8,15.399999999999999,Dr. Rahmati
40126072,30.0,40.0,38.0,40.0,40.0,40,38.0,40.0,2.5,9.26,Dr. Rahmati
40126087,27.0,32.0,38.0,38.0,40.0,40,35.0,35.0,4.2,10.95,Dr. Rahmati
40126088,40.0,20.0,40.0,40.0,40.0,40,40.0,35.0,6.6,17.049999999999997,Dr. Rahmati
40126089,27.0,33.0,20.0,40.0,40.0,40,35.0,40.0,4.6,11.45,Dr. Rahmati
40126090,0.0,0.0,38.0,0.0,0.0,40,35.0,0.0,4.1,9.43,Dr. Rahmati
40126092,30.0,32.0,40.0,40.0,40.0,40,40.0,27.0,5.5,16.09,Dr. Rahmati
40126093,35.0,38.0,40.0,40.0,40.0,40,35.0,40.0,4.7,12.879999999999999,Dr. Rahmati
40126094,40.0,29.0,40.0,40.0,40.0,40,37.0,40.0,4.85,13.31,Dr. Rahmati
40126095,30.0,37.0,40.0,40.0,40.0,40,39.0,40.0,5.5,15.86,Dr. Rahmati
40126096,0.0,37.0,36.0,38.0,0.0,40,0.0,40.0,3.0,6.31,Dr. Rahmati
40126097,40.0,27.0,40.0,0.0,0.0,40,40.0,35.0,2.9,8.82,Dr. Rahmati
40126098,40.0,39.0,40.0,40.0,40.0,40,40.0,40.0,4.7,14.59,Dr. Rahmati
40126099,35.0,36.0,40.0,40.0,40.0,40,40.0,40.0,5.4,14.31,Dr. Rahmati
40126901,40.0,34.0,38.0,40.0,0.0,40,28.0,23.0,1.8,6.13,Dr. Rahmati
40128012,0.0,36.0,36.0,20.0,0.0,40,35.0,35.0,2.2,6.7700000000000005,Dr. Rahmati
40128016,35.0,33.0,40.0,40.0,40.0,40,35.0,40.0,3.6,6.63,Dr. Rahmati
40128020,20.0,38.0,38.0,38.0,40.0,40,30.0,35.0,3.4,10.89,Dr. Rahmati
40128022,25.0,32.0,38.0,0.0,40.0,40,35.0,22.0,2.3,5.119999999999999,Dr. Rahmati
40128027,35.0,38.0,40.0,40.0,40.0,40,30.0,22.0,2.95,10.100000000000001,Dr. Rahmati
40128029,25.0,0.0,40.0,40.0,0.0,40,35.0,0.0,2.0,6.4,Dr. Rahmati
40128031,,,,,,40,,,0.2,0.6000000000000001,Dr. Rahmati
40128037,25.0,38.0,40.0,37.0,40.0,40,30.0,22.0,1.3,7.0200000000000005,Dr. Rahmati
40128039,35.0,37.0,38.0,35.0,40.0,40,30.0,18.0,0.3,3.9799999999999995,Dr. Rahmati
40128063,15.0,40.0,40.0,40.0,40.0,40,39.0,40.0,0.0,3.94,Dr. Rahmati
40128064,0.0,29.0,0.0,40.0,0.0,40,35.0,0.0,0.0,2.04,Dr. Rahmati
40128087,0.0,33.0,40.0,40.0,40.0,40,35.0,0.0,3.3,5.58,Dr. Rahmati
40128088,27.0,38.0,40.0,40.0,35.0,40,35.0,40.0,0.0,2.95,Dr. Rahmati
40128089,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,1.5,1.9,Dr. Rahmati
40128090,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.4,Dr. Rahmati
40128092,0.0,0.0,0.0,0.0,0.0,40,35.0,0.0,3.7,8.05,Dr. Rahmati
40131012,30.0,37.0,38.0,40.0,40.0,40,35.0,40.0,5.3,12.899999999999999,Dr. Rahmati
40131021,35.0,20.0,40.0,0.0,40.0,40,0.0,40.0,5.6,14.75,Dr. Rahmati
40131022,30.0,37.0,38.0,40.0,40.0,40,40.0,40.0,4.5,12.25,Dr. Rahmati
40131026,35.0,38.0,40.0,40.0,40.0,40,30.0,40.0,7.0,16.63,Dr. Rahmati
40131032,40.0,29.0,38.0,40.0,40.0,40,40.0,40.0,5.8,17.77,Dr. Rahmati
40131034,40.0,35.0,38.0,38.0,40.0,40,35.0,40.0,3.7,15.46,Dr. Rahmati
40131036,35.0,37.0,40.0,40.0,40.0,40,35.0,40.0,3.7,12.77,Dr. Rahmati
40131044,35.0,37.0,40.0,40.0,40.0,40,0.0,40.0,5.2,15.420000000000002,Dr. Rahmati
40131049,0.0,0.0,0.0,0.0,40.0,40,40.0,0.0,1.8,4.3999999999999995,Dr. Rahmati
40131052,40.0,39.0,40.0,40.0,40.0,40,0.0,35.0,6.9,18.44,Dr. Rahmati
40131056,20.0,37.0,40.0,40.0,40.0,40,35.0,40.0,2.3,9.32,Dr. Rahmati
40131060,35.0,36.0,40.0,40.0,40.0,40,30.0,38.0,7.0,18.490000000000002,Dr. Rahmati
40131062,40.0,38.0,40.0,40.0,40.0,40,0.0,40.0,6.8,18.58,Dr. Rahmati
40134037,40.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.8,Dr. Rahmati
40131040,40.0,28.0,40.0,40.0,0.0,40,0.0,40.0,4.3,9.879999999999999,Dr. Rahmati
40111402,0.0,10.0,38.0,17.0,0.0,40,0,18.0,0.0,2.0300000000000002,Dr. Bayati
40111403,0.0,0.0,0.0,0.0,0.0,40,0,0.0,0.0,0.75,Dr. Bayati
40111404,35.0,33.0,40.0,40.0,40.0,40,27,40.0,3.1,10.25,Dr. Bayati
40111405,40.0,33.0,36.0,40.0,0.0,40,26,38.0,0.0,3.63,Dr. Bayati
